Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,last_week,two_weeks_ago,last_month,quater_month,last_year,two_years_ago,Year,Month,Week
1,2012-02-03,1636339.65,0,56.55,3.36,220.1720153,7.348,1319325.59,1394393.84,1550369.92,1697229.58,1606629.58,1643690.9,2012,2,5
1,2012-02-10,1802477.43,1,48.02,3.409,220.2651783,7.348,1636339.65,1319325.59,1459601.17,1594938.89,1649614.93,1641957.44,2012,2,6
1,2012-02-17,1819870.0,0,45.32,3.51,220.4257586,7.348,1802477.43,1636339.65,1394393.84,1539483.7,1686842.78,1611968.17,2012,2,7
1,2012-02-24,1539387.83,0,57.25,3.555,220.636902,7.348,1819870.0,1802477.43,1319325.59,2033320.66,1456800.28,1409727.59,2012,2,8
1,2012-03-02,1688420.76,0,60.96,3.63,220.8480454,7.348,1539387.83,1819870.0,1636339.65,1584083.95,1636263.41,1554806.68,2012,3,9
1,2012-03-09,1675431.16,0,58.76,3.669,221.0591887,7.348,1688420.76,1539387.83,1802477.43,1799682.38,1553191.63,1439541.59,2012,3,10
1,2012-03-16,1677472.78,0,64.74,3.734,221.2118132,7.348,1675431.16,1688420.76,1819870.0,1881176.67,1576818.06,1472515.79,2012,3,11
1,2012-03-23,1511068.07,0,65.93,3.787,221.2864126,7.348,1677472.78,1675431.16,1539387.83,2270188.99,1541102.38,1404429.92,2012,3,12
1,2012-03-30,1649604.63,0,67.61,3.845,221.3610119,7.348,1511068.07,1677472.78,1688420.76,1497462.72,1495064.75,1594968.28,2012,3,13
1,2012-04-06,1899676.88,0,70.43,3.891,221.4356112,7.143,1649604.63,1511068.07,1675431.16,1550369.92,1614259.35,1545418.53,2012,4,14
1,2012-04-13,1621031.7,0,69.07,3.891,221.5102105,7.143,1899676.88,1649604.63,1677472.78,1459601.17,1559889.0,1466058.28,2012,4,15
1,2012-04-20,1521577.87,0,66.76,3.877,221.5640737,7.143,1621031.7,1899676.88,1511068.07,1394393.84,1564819.81,1391256.12,2012,4,16
1,2012-04-27,1468928.37,0,67.23,3.814,221.6179368,7.143,1521577.87,1621031.7,1649604.63,1319325.59,1455090.69,1425100.71,2012,4,17
1,2012-05-04,1684519.99,0,75.55,3.749,221.6718,7.143,1468928.37,1521577.87,1899676.88,1636339.65,1629391.28,1603955.12,2012,5,18
1,2012-05-11,1611096.05,0,73.77,3.688,221.7256632,7.143,1684519.99,1468928.37,1621031.7,1802477.43,1604775.58,1494251.5,2012,5,19
1,2012-05-18,1595901.87,0,70.33,3.63,221.742674,7.143,1611096.05,1684519.99,1521577.87,1819870.0,1428218.27,1399662.07,2012,5,20
1,2012-05-25,1555444.55,0,77.22,3.561,221.744944,7.143,1595901.87,1611096.05,1468928.37,1539387.83,1466046.67,1432069.95,2012,5,21
1,2012-06-01,1624477.58,0,77.95,3.501,221.7472139,7.143,1555444.55,1595901.87,1684519.99,1688420.76,1635078.41,1615524.71,2012,6,22
